Date,Open,High,Low,Close,Adj Close,Volume
2022-10-10,36.459999084472656,40.15999984741211,36.02000045776367,38.790000915527344,38.790000915527344,5330168
2022-10-11,38.84000015258789,39.4900016784668,37.599998474121094,39.08000183105469,39.08000183105469,3588379
2022-10-12,38.08000183105469,38.68000030517578,36.47999954223633,38.59000015258789,38.59000015258789,3040267
2022-10-13,38.29999923706055,39.380001068115234,37.40999984741211,37.79999923706055,37.79999923706055,3276922
2022-10-14,38.5,40.79999923706055,38.040000915527344,39.220001220703125,39.220001220703125,4520098
2022-10-17,38.52000045776367,40.38999938964844,38.099998474121094,38.779998779296875,38.779998779296875,3899788
2022-10-18,38.52000045776367,39.880001068115234,37.56999969482422,39.150001525878906,39.150001525878906,3571995
2022-10-19,38.900001525878906,40.790000915527344,37.029998779296875,40.529998779296875,40.529998779296875,5147323
2022-10-20,39.5,43.79999923706055,39.47999954223633,39.81999969482422,39.81999969482422,5775824
2022-10-21,39.130001068115234,39.58000183105469,37.400001525878906,38.650001525878906,38.650001525878906,2986425
2022-10-24,38.599998474121094,38.97999954223633,37.0,37.40999984741211,37.40999984741211,2300632
2022-10-25,37.5,37.59000015258789,35.599998474121094,36.45000076293945,36.45000076293945,1812101
2022-10-26,36.599998474121094,38.349998474121094,36.04999923706055,37.790000915527344,37.790000915527344,2222709
2022-10-27,37.540000915527344,38.54999923706055,36.599998474121094,37.9900016784668,37.9900016784668,2167963
2022-10-28,37.400001525878906,37.970001220703125,35.810001373291016,36.15999984741211,36.15999984741211,1637920
2022-10-31,36.0,36.93000030517578,35.689998626708984,36.06999969482422,36.06999969482422,1306434
2022-11-01,35.529998779296875,36.70000076293945,34.650001525878906,36.369998931884766,36.369998931884766,1932424
2022-11-02,35.959999084472656,42.0,35.810001373291016,39.470001220703125,39.470001220703125,5102174
2022-11-03,38.5,39.279998779296875,37.90999984741211,38.779998779296875,38.779998779296875,2864240
2022-11-04,39.11000061035156,42.18000030517578,38.41999816894531,41.59000015258789,41.59000015258789,5003037
2022-11-07,41.75,43.65999984741211,41.02000045776367,41.220001220703125,41.220001220703125,4693777
2022-11-08,42.0,49.459999084472656,40.790000915527344,47.279998779296875,47.279998779296875,7808164
