date,open,high,low,close,volume
2022-11-07 10:50:00,41.940,42.890,41.900,42.800,71700
2022-11-07 10:55:00,42.760,42.970,42.710,42.960,111320
2022-11-07 11:00:00,42.970,43.000,42.680,42.990,153960
2022-11-07 11:05:00,42.990,42.990,42.710,42.710,26000
2022-11-07 11:10:00,42.710,42.750,42.410,42.420,26100
2022-11-07 11:15:00,42.420,42.500,42.330,42.330,18500
2022-11-07 11:20:00,42.330,42.380,42.310,42.320,57760
2022-11-07 11:25:00,42.310,42.390,42.310,42.370,28700
2022-11-07 11:30:00,42.320,42.350,42.020,42.050,27740
2022-11-07 13:05:00,42.050,42.100,42.000,42.050,51540
2022-11-07 13:10:00,42.060,42.060,41.800,41.830,31760
2022-11-07 13:15:00,41.830,41.830,41.780,41.830,26300
2022-11-07 13:20:00,41.820,41.920,41.800,41.920,12300
2022-11-07 13:25:00,41.920,41.930,41.870,41.880,19800
2022-11-07 13:30:00,41.870,41.910,41.800,41.800,24100
2022-11-07 13:35:00,41.800,41.850,41.760,41.820,21500
2022-11-07 13:40:00,41.820,41.910,41.820,41.880,23100
2022-11-07 13:45:00,41.880,41.880,41.770,41.780,28500
2022-11-07 13:50:00,41.780,41.870,41.770,41.870,15940
2022-11-07 13:55:00,41.860,41.860,41.550,41.560,40460
2022-11-07 14:00:00,41.570,41.630,41.520,41.520,24517
2022-11-07 14:05:00,41.510,41.510,41.320,41.470,69620
2022-11-07 14:10:00,41.470,41.550,41.360,41.550,29140
2022-11-07 14:15:00,41.540,41.550,41.200,41.260,71800
2022-11-07 14:20:00,41.260,41.270,41.180,41.180,56700
2022-11-07 14:25:00,41.180,41.680,41.090,41.510,116140
2022-11-07 14:30:00,41.510,41.510,41.260,41.320,38500
2022-11-07 14:35:00,41.320,41.420,41.100,41.240,61600
2022-11-07 14:40:00,41.270,41.400,41.250,41.250,47800
2022-11-07 14:45:00,41.250,41.390,41.240,41.300,31400
2022-11-07 14:50:00,41.280,41.300,41.100,41.200,83104
2022-11-07 14:55:00,41.200,41.200,41.020,41.100,107600
