Date,Open,High,Low,Close,Adj Close,Volume
2022-10-31,36.0,36.93000030517578,35.689998626708984,36.06999969482422,36.06999969482422,1306434
2022-11-01,35.529998779296875,36.70000076293945,34.650001525878906,36.369998931884766,36.369998931884766,1932424
2022-11-02,35.959999084472656,42.0,35.810001373291016,39.470001220703125,39.470001220703125,5102174
2022-11-03,38.5,39.279998779296875,37.90999984741211,38.779998779296875,38.779998779296875,2864240
2022-11-04,39.11000061035156,42.18000030517578,38.41999816894531,41.59000015258789,41.59000015258789,5003037
2022-11-07,41.75,43.65999984741211,41.02000045776367,41.220001220703125,41.220001220703125,4693777
2022-11-08,42.0,49.459999084472656,40.790000915527344,47.279998779296875,47.279998779296875,7808164
2022-11-09,47.38999938964844,53.0,46.0099983215332,52.7599983215332,52.7599983215332,8498491
2022-11-10,54.5,57.209999084472656,49.119998931884766,54.38999938964844,54.38999938964844,9755347
2022-11-11,54.38999938964844,55.65999984741211,50.20000076293945,54.650001525878906,54.650001525878906,5615047
